c000  4c f5 c5  JMP $c5f5                       A:00 X:00 Y:00 P:24 SP:fd PPU:  0, 21 CYC:7
c5f5  a2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:fd PPU:  0, 21 CYC:7
c5f7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:fd PPU:  0, 21 CYC:7
c5f9  86 10     STX $10 = 00                    A:00 X:00 Y:00 P:26 SP:fd PPU:  0, 21 CYC:7
c5fb  86 11     STX $11 = 00                    A:00 X:00 Y:00 P:26 SP:fd PPU:  0, 21 CYC:7
c5fd  20 2d c7  JSR $c72d                       A:00 X:00 Y:00 P:26 SP:fd PPU:  0, 21 CYC:7
c72d  ea        NOP                             A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c72e  38        SEC                             A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c72f  b0 04     BCS $c735                       A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c735  ea        NOP                             A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c736  18        CLC                             A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c737  b0 03     BCS $c73c                       A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c739  4c 40 c7  JMP $c740                       A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c740  ea        NOP                             A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c741  38        SEC                             A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
c742  90 03     BCC $c747                       A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c744  4c 4b c7  JMP $c74b                       A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c74b  ea        NOP                             A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c74c  18        CLC                             A:00 X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c74d  90 04     BCC $c753                       A:00 X:00 Y:00 P:26 SP:fb PPU:  0, 21 CYC:7
